StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant,Consent form,Q1,Q2,Q3_1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q32,Q31,Q33,Q34,Q35,Q37,Q38,Q39,Q35,Q40,Q42,Q43,Q46,Q36,Q47,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant number,"Do you agree to the details set out in the consent form?",What is your age?,What is your gender?,How many hours a day do you normally spend sitting? - Hours,Have you ever used a footrest while working or studying?,Have you used any time management apps or timers to remind you to take breaks?,Do you have any experience using the Pomodoro technique for working or studying?,I found PushBreak easy to use,I felt confident using PushBreak,I found PushBreak unnecessarily complex,I think most people would learn to use PushBreak very quickly,I needed to learn a lot of things before I could get going with PushBreak,I noticed when the nudging from PushBreak started,I felt the urge to move or get up at the right time,The nudging of the device was…,The shape-changing feedback clearly signalled that it was time to take a break,The timing of the nudges was appropriate for my workflow,PushBreak helped me become more aware of how long I had been sitting,PushBreak encouraged me to take breaks,I would be more likely to take micro-breaks if I used PushBreak regularly,I felt that PushBreak successfully changed my behaviour,I felt that PushBreak was more effective than a timer,PushBreak felt like a natural part of my workspace,PushBreak supported my workflow rather than interrupting it,PushBreak’s physical presence and feedback were well integrated into the environment,I would consider using a similar device in my workspace,I would choose PushBreak over a conventional timer,Using PushBreak made me feel more responsible about my health,I would like to use PushBreak regularly
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID49""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID46""}","{""ImportId"":""QID50""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}"
2025-06-05 11:45:59,2025-06-05 13:45:01,IP Address,82.101.216.222,100,7142,True,2025-06-05 13:45:02,R_2gtDRKlvvvxra7v,,,,,52.1559,4.4919,anonymous,EN,1,Yes,24,Male,7,Never,"Yes, I set alarms or use calendar reminders","Yes, and I currently use it",7,7,1,7,1,7,5,A little obvious,6,4,7,6,7,7,5,2,1,1,6,5,7,6
2025-06-05 13:45:16,2025-06-05 14:53:04,IP Address,82.101.216.222,100,4067,True,2025-06-05 14:53:04,R_82AduovdMT0BsRD,,,,,52.1559,4.4919,anonymous,EN,2,Yes,26,Female,10,Never,I’ve tried them but don’t use them anymore,"Yes, but I don’t use it anymore",6,6,1,7,1,7,7,A little obvious,7,4,7,5,7,4,7,7,2,6,7,7,7,7
2025-06-07 08:36:54,2025-06-07 09:28:59,IP Address,94.213.70.149,100,3124,True,2025-06-07 09:29:00,R_85ziPYxIqGEXwRr,,,,,52.6632,5.211,anonymous,EN,3,Yes,22,Male,11,Never,"No, I’ve never used one","No, I’ve heard of it but never tried it",6,7,2,6,1,7,4,A little obvious,7,3,5,7,3,3,6,1,4,3,2,6,5,3
2025-06-07 09:32:15,2025-06-07 10:27:26,IP Address,94.213.70.149,100,3310,True,2025-06-07 10:27:27,R_8ZBPatH4BrjCPZv,,,,,52.6632,5.211,anonymous,EN,4,Yes,22,Male,14,Never,"No, I’ve never used one","No, I don’t know what that is",6,7,2,6,1,3,6,A little obvious,6,3,3,6,6,4,7,5,6,5,6,7,7,5
2025-06-09 08:33:33,2025-06-09 09:54:56,IP Address,80.60.179.234,100,4882,True,2025-06-09 09:54:56,R_26l5sCI7hfP2jpT,,,,,52.2197,5.1654,anonymous,EN,5,Yes,57,Female,12,Never,"No, I’ve never used one","No, I don’t know what that is",6,7,1,6,1,6,7,Just right,4,5,6,5,6,6,6,7,6,6,6,6,6,6
2025-06-09 10:12:26,2025-06-09 10:58:42,IP Address,80.60.179.234,100,2775,True,2025-06-09 10:58:43,R_21hm9QHKQVytA0I,,,,,52.2197,5.1654,anonymous,EN,6,Yes,22,Male,7,Never,"No, I’ve never used one","No, I don’t know what that is",7,6,1,7,1,6,5,A little subtle,5,6,6,6,7,6,7,6,5,6,6,7,5,6
2025-06-09 11:12:39,2025-06-09 13:01:37,IP Address,80.60.179.234,100,6537,True,2025-06-09 13:01:38,R_2RlloFktSWxcQi7,,,,,52.2197,5.1654,anonymous,EN,7,Yes,24,Female,11,Sometimes,I’ve tried them but don’t use them anymore,"Yes, but I don’t use it anymore",7,6,1,7,2,7,5,Just right,6,6,6,6,7,6,6,6,5,6,7,7,6,6
2025-06-11 09:56:54,2025-06-11 10:50:41,IP Address,80.112.153.105,100,3226,True,2025-06-11 10:50:41,R_2M54vieT1IC5Zg4,,,,,52.3179,4.9521,anonymous,EN,8,Yes,24,Male,13,Sometimes,"No, I’ve never used one","No, I’ve heard of it but never tried it",6,7,1,7,1,6,6,Just right,6,7,7,7,7,7,7,2,6,2,6,7,7,6
2025-06-11 15:45:34,2025-06-11 16:19:39,IP Address,80.112.153.105,100,2044,True,2025-06-11 16:19:39,R_8U45Xf39XxwNN45,,,,,52.3179,4.9521,anonymous,EN,9,Yes,25,Male,10,Never,"No, I’ve never used one","No, I’ve heard of it but never tried it",7,7,1,6,2,5,6,Just right,5,6,7,7,7,7,7,5,5,6,6,7,7,7
2025-06-14 06:02:30,2025-06-14 06:49:38,IP Address,89.98.148.124,100,2828,True,2025-06-14 06:49:39,R_8FhxIJTwHeSHi09,,,,,52.3672,4.918,anonymous,EN,10,Yes,24,Female,5,Never,"Yes, I use Pomodoro-style apps","Yes, and I currently use it",6,6,2,3,1,5,5,A little obvious,4,3,4,6,6,4,6,3,6,5,5,5,6,7
2025-06-14 06:59:24,2025-06-14 07:42:04,IP Address,89.98.148.124,100,2560,True,2025-06-14 07:42:05,R_8z8ILDZqRqD31lv,,,,,52.3672,4.918,anonymous,EN,11,Yes,24,Male,10,Never,I’ve tried them but don’t use them anymore,"Yes, but I don’t use it anymore",6,4,2,7,1,6,3,A little subtle,3,2,6,7,7,6,4,1,4,2,6,5,5,5
2025-06-15 08:24:32,2025-06-15 09:17:40,IP Address,31.20.112.178,100,3188,True,2025-06-15 09:17:41,R_2rVzlsZguWWjOPV,,,,,52.3933,5.2669,anonymous,EN,12,Yes,56,Male,8,Never,I’ve tried them but don’t use them anymore,"Yes, but I don’t use it anymore",4,4,2,7,1,2,2,Too subtle,2,3,3,3,3,3,4,1,4,5,4,3,2,3
2025-06-15 09:22:09,2025-06-15 10:16:47,IP Address,31.20.112.178,100,3278,True,2025-06-15 10:16:47,R_2qqiF8Mjp1oAKdU,,,,,52.3933,5.2669,anonymous,EN,13,Yes,58,Female,4,Never,I’ve tried them but don’t use them anymore,"No, I don’t know what that is",7,7,1,7,2,5,6,Just right,6,6,5,6,6,4,5,3,6,4,6,5,5,5
2025-06-19 09:45:24,2025-06-19 10:22:04,IP Address,89.98.172.62,100,2200,True,2025-06-19 10:22:04,R_8BoaQy3nL9kvZhn,,,,,51.8443,5.8836,anonymous,EN,14,Yes,23,Female,12,Never,I’ve tried them but don’t use them anymore,"Yes, but I don’t use it anymore",7,7,1,7,1,7,6,A little obvious,7,7,7,6,5,6,7,6,6,7,6,7,7,6
2025-06-19 10:43:17,2025-06-19 11:21:30,IP Address,89.98.172.62,100,2292,True,2025-06-19 11:21:30,R_2UfPHRSqmV0gX9c,,,,,51.8443,5.8836,anonymous,EN,15,Yes,25,Female,12,Never,"No, I’ve never used one","No, I’ve heard of it but never tried it",7,6,2,6,1,6,5,Just right,5,6,4,5,6,5,7,5,4,6,5,7,6,6
2025-06-19 12:17:22,2025-06-19 13:00:59,IP Address,89.98.172.62,100,2617,True,2025-06-19 13:01:00,R_8cIO7l3ulZ7ari9,,,,,51.8443,5.8836,anonymous,EN,16,Yes,26,Male,9,Never,"Yes, I use Pomodoro-style apps,I’ve tried them but don’t use them anymore","Yes, and I currently use it",7,7,3,6,1,5,4,A little subtle,5,6,6,4,6,5,5,5,6,7,6,5,5,5
